codigo_interno;nome_completo;sexo;rg;cpf;data_nascimento;estado_civil;total_dependentes
51616;João da Silva;M;1234567-8;123.456.789-01;15/03/1985;Solteiro;2
98416;Maria Santos;F;9876543-2;987.654.321-09;25/07/1990;Casado;1
65198;Pedro Oliveira;M;5678901-2;567.890.123-45;10/12/1988;Divorciado;0
1561;Ana Pereira;F;3456789-0;345.678.901-23;03/09/1995;Solteiro;3
981;Carlos Rodrigues;M;2345678-1;234.567.890-12;18/05/1983;Casado;2
8914;Sofia Almeida;F;543210-9;654.321.098-76;22/11/1987;Viúvo;0
65198;André Fernandes;M;4321098-7;432.109.876-54;05/02/1992;Solteiro;1
46;Laura Costa;F;7890123-4;789.012.345-67;12/08/1998;Casado;2
19864;José Pereira;M;8765432-1;876.543.210-98;30/04/1980;Divorciado;4
981;Rita Ferreira;F;2109876-5;210.987.654-32;20/06/1993;Solteiro;0
651;Manuel Santos;M;2109876-5;543.210.987-65;08/01/1986;Casado;2
698;Beatriz Silva;F;6789012-3;678.901.234-56;14/10/1997;Solteira;0
198;Miguel Sousa;M;1098765-4;109.876.543-21;27/07/1989;Casado;3
788981;Helena Ramos;F;4321098-7;026.795.950-84;11/04/1994;Solteira;1
98498;Guilherme Mendes;M;9876543-2;717.544.590-30;19/09/1982;Divorciado;2
;;;;;;;
