codigo_interno   company_owner   nome_completo         sexo   email                       rg          cpf               data_nascimento   estado_civil   total_dependentes   cargo               remuneracao,company_owner,nome_completo,sexo,email,rg,cpf,data_nascimento,estado_civil,total_dependentes,cargo,remuneracao
51616            false           João da Silva         M      joao.silva@email.com       1234567-8   123.456.789-01   3/15/1985          Solteiro        2                   Analista de Vendas   5000.00,false,João da Silva,M,joao.silva@email.com,1234567-8,123.456.789-01,3/15/1985,Solteiro,2,Analista de Vendas,5000
98416            false           Maria Santos          F      maria.santos@email.com     9876543-2   987.654.321-09   7/25/1990          Casado          1                   Gerente de Marketing   8000.00,false,Maria Santos,F,maria.santos@email.com,9876543-2,987.654.321-09,7/25/1990,Casado,1,Gerente de Marketing,8000
65198            false           Pedro Oliveira        M      pedro.oliveira@email.com   5678901-2   567.890.123-45   12/10/1988         Divorciado      0                   Analista de TI         6000.00,false,Pedro Oliveira,M,pedro.oliveira@email.com,5678901-2,567.890.123-45,12/10/1988,Divorciado,0,Analista de TI,6000
1561             false           Ana Pereira           F      ana.pereira@email.com      3456789-0   345.678.901-23   9/3/1995           Solteiro        3                   Designer Gráfico        4500.00,false,Ana Pereira,F,ana.pereira@email.com,3456789-0,345.678.901-23,9/3/1995,Solteiro,3,Designer Gráfico,4500
981              false           Carlos Rodrigues      M      carlos.rodrigues@email.com  2345678-1   234.567.890-12   5/18/1983          Casado          2                   Engenheiro Civil        7000.00,false,Carlos Rodrigues,M,carlos.rodrigues@email.com,2345678-1,234.567.890-12,5/18/1983,Casado,2,Engenheiro Civil,7000
8914             false           Sofia Almeida         F      sofia.almeida@email.com     543210-9    654.321.098-76   11/22/1987         Viúvo           0                   Recepcionista          3500.00,false,Sofia Almeida,F,sofia.almeida@email.com,543210-9,654.321.098-76,11/22/1987,Viúvo,0,Recepcionista,3500
65198            false           André Fernandes       M      andre.fernandes@email.com   4321098-7  432.109.876-54   2/5/1992           Solteiro        1                   Analista de RH          5500.00,false,André Fernandes,M,andre.fernandes@email.com,4321098-7,432.109.876-54,2/5/1992,Solteiro,1,Analista de RH,5500
46               false           Laura Costa           F      laura.costa@email.com       7890123-4  789.012.345-67   8/12/1998          Casado          2                   Contador               6500.00,false,Laura Costa,F,laura.costa@email.com,7890123-4,789.012.345-67,8/12/1998,Casado,2,Contador,6500
19864            false           José Pereira          M      jose.pereira@email.com      8765432-1  876.543.210-98   4/30/1980          Divorciado      4                   Gerente de Produção    7500.00,false,José Pereira,M,jose.pereira@email.com,8765432-1,876.543.210-98,4/30/1980,Divorciado,4,Gerente de Produção,7500
981              false           Rita Ferreira         F      rita.ferreira@email.com     2109876-5  210.987.654-32   6/20/1993          Solteiro        0                   Analista de Marketing   5000.00,false,Rita Ferreira,F,rita.ferreira@email.com,2109876-5,210.987.654-32,6/20/1993,Solteiro,0,Analista de Marketing,5000
651              false           Manuel Santos         M      manuel.santos@email.com     2109876-5  543.210.987-65   1/8/1986           Casado          2                   Advogado               8000.00,false,Manuel Santos,M,manuel.santos@email.com,2109876-5,543.210.987-65,1/8/1986,Casado,2,Advogado,8000
698              false           Beatriz Silva         F      beatriz.silva@email.com     6789012-3  678.901.234-56   10/14/1997         Solteira        0                   Estudante              2000.00,false,Beatriz Silva,F,beatriz.silva@email.com,6789012-3,678.901.234-56,10/14/1997,Solteira,0,Estudante,2000
198              false           Miguel Sousa          M      miguel.sousa@email.com      1098765-4  109.876.543-21   7/27/1989          Casado          3                   Médico                 9000.00,false,Miguel Sousa,M,miguel.sousa@email.com,1098765-4,109.876.543-21,7/27/1989,Casado,3,Médico,9000
788981           false           Helena Ramos          F      helena.ramos@email.com      4321098-7  432.109.876-54   4/11/1994          Solteira        1                   Analista Financeiro    6000.00,false,Helena Ramos,F,helena.ramos@email.com,4321098-7,432.109.876-54,4/11/1994,Solteira,1,Analista Financeiro,6000
98498            false           Guilherme Mendes      M      guilherme.mendes@email.com  9876543-2  987.654.321-09   9/19/1982          Divorciado      2                   Consultor de Vendas     7000.00,false,Guilherme Mendes,M,guilherme.mendes@email.com,9876543-2,987.654.321-09,9/19/1982,Divorciado,2,Consultor de Vendas,7000
