codigo_interno,company_owner,nome_completo,sexo,rg,cpf,data_nascimento,estado_civil,total_dependentes,cargo,remuneracao
4,false,João da Silva,M,6514651,123.456.789-01,3/15/1985,Solteiro,2,Analista de Vendas,5000
91,false,Maria Santos,F,987616565543-2,987.654.821-09,7/25/1990,Casado,1,Gerente de Marketing,8000
91,false,Pedro Oliveira,M,65165,567.890.123-45,12/10/1988,Divorciado,0,Analista de TI,6000
98198,false,Ana Pereira,F,651,345.678.901-23,9/3/1995,Solteiro,3,Designer Gráfico,4500
19,false,Carlos Rodrigues,M,561,234.567.890-12,5/18/1983,Casado,2,Engenheiro Civil,7000
196,false,Sofia Almeida,F,561,654.321.098-76,11/22/1987,Viúvo,0,Recepcionista,3500
1,false,André Fernandes,M,6591,432.119.876-54,2/5/1992,Solteiro,1,Analista de RH,5500
9198,false,Laura Costa,F,59681,789.012.345-67,8/12/1998,Casado,2,Contador,6500
1,false,José Pereira,M,59851,876.543.210-98,4/30/1980,Divorciado,4,Gerente de Produção,7500
16,false,Rita Ferreira,F,9581,210.987.654-32,6/20/1993,Solteiro,0,Analista de Marketing,5000
16,false,Manuel Santos,M,2109898198,543.210.987-65,1/8/1986,Casado,2,Advogado,8000
165,false,Beatriz Silva,F,891,678.901.234-56,10/14/1997,Solteira,0,Estudante,2000
1698,false,Miguel Sousa,M,98432,109.876.543-21,7/27/1989,Casado,3,Médico,9000
18,false,Helena Ramos,F,9843,432.109.876-54,4/11/1994,Solteira,1,Analista Financeiro,6000
691,false,Guilherme Mendes,M,64981,987.654.321-09,9/19/1982,Divorciado,2,Consultor de Vendas,7000
